Year,CO2-BAU,CH4-BAU,N2O-BAU,HFC-BAU,PFC-BAU,SF6-BAU,CO2B-BAU,CH4B-BAU,CO2-S1,CH4-S1,N2O-S1,HFC-S1,PFC-S1,SF6-S1,CO2B-S1,CH4B-S1,CO2-S2,CH4-S2,N2O-S2,HFC-S2,PFC-S2,SF6-S2,CO2B-S2,CH4B-S2,CO2-S3,CH4-S3,N2O-S3,HFC-S3,PFC-S3,SF6-S3,CO2B-S3,CH4B-S3
1750,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1751,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1752,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1753,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1754,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1755,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1756,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1757,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1758,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1759,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1760,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1761,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1762,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1763,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1764,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1765,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0
1766,14.99,64.35,9.32,0,0,0,21,64.35,14.99,64.35,9.32,0,0,0,20.72,64.35,14.99,64.35,9.32,0,0,0,20.72,64.35,14.99,64.35,9.32,0,0,0,20.72,64.35
1767,14.99,79.86,18.17,0,0,0,41.43,79.86,14.99,79.86,18.17,0,0,0,41.43,79.86,14.99,79.86,18.17,0,0,0,41.43,79.86,14.99,79.86,18.17,0,0,0,41.43,79.86
