,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed
1987,4.719983423,5.153047969,34.27336252,121.2337916,1.305106703,1.984386778,1.491136285,1.482092423,0.907685005,0.443819095,8.135466275,36.02857005,0.001126305,2.710755648,0.001612496,0.019476274,-0.003665286,-0.000454645,-5.37E-05,-1.75E-05,-0.000528676,-1.22E-06,-2.39E-05,-5.71E-06,0.000974365,0.270732791,2.90E-27,-0.731092193,0.000257765,0.000919998,-0.000242099,8.67E-05,5.78E-05,-0.000281916,1.035063163,1.096974537,0.965177323,0.384802159,0.814571212,1.036014954,1.215395477,0,0.778666431,0,1.024538566,276.3197669,2148576
5183,12.30017977,3.585753286,10.90495157,84.18223566,0.872374975,2.432661337,0.765480361,1.107788212,1.330539362,0.389368098,6.694523702,33.35105145,0.002410008,2.436873699,0.002826991,0.025084681,-0.003655528,-0.002265569,-6.43E-05,-1.99E-05,-0.000510971,-2.08E-06,-4.23E-05,-7.10E-06,0.079044235,9.78E-35,0.898397393,-1.569522514,0.00021413,0.001554703,-5.55E-05,6.63E-05,0.000213226,0.001061242,0.943680522,1.084593546,0.672172639,0.171390497,0.365729707,1.14049422,1.337610625,0,1.661953965,0,0.91968907,279.025924,3423780
6255,9.731072461,6.115407229,21.4009094,84.56115745,1.27330504,1.845869061,1.594582633,1.762281468,0.819526467,0.509385111,7.462268616,36.5244395,0.000731165,1.188568057,0.003442838,0.037799579,-0.004623653,-0.003230544,-4.95E-05,-2.51E-05,-0.00055576,-2.99E-06,-4.90E-05,-8.03E-06,0.053810907,6.21E-43,0.90446583,-1.127669332,0.000215974,0.001220831,-4.93E-05,0.000111456,0.000141308,0.000236347,1.101507778,1.224876377,1.1674758,0.515078328,1.071870357,0.942000954,0.934828237,0,1.374137347,0,0.976194233,275.8210078,3851508
6996,3.424370584,3.11670029,4.427311312,92.09515575,1.02562881,2.483696083,0.832422243,1.136192258,0.545717945,0.447184778,8.226755049,32.40517263,0.003003939,5.930111113,-0.001477196,0.011822122,-0.004393218,-0.002757737,-5.59E-05,-1.59E-05,-0.000493957,-2.23E-06,-4.52E-05,-7.35E-06,0.062695372,2.48E-38,1.913144507,-0.840073027,0.000235608,0.001336001,-0.000114434,4.09E-05,0.000398171,4.46E-05,0.944320193,0.918377463,0.865325941,1.39690042,1.177520495,0.992984581,0.727182493,0,-0.219467366,0,1.030956683,278.0064409,4147167
9988,11.44940677,4.68110311,31.61413471,114.0261414,1.572870736,1.200265706,1.362470007,0.995381409,1.174086389,0.556607218,8.764228586,32.61686499,0.001378683,3.170698626,0.001990761,0.026864162,-0.003836118,-0.002590535,-7.81E-05,7.44E-06,-0.000595827,-2.01E-06,-5.40E-06,-8.01E-06,0.026301331,7616.111319,7.28E-17,-0.37721375,0.000221367,0.00125417,-0.000121342,3.33E-05,0.000108123,0.001987897,0.9955941,0.969672261,0.908892763,0.960303023,1.372307753,1.053962186,0.908225491,0,0.16568737,0,1.070121863,282.5412165,5340975
11476,9.629387242,5.233500483,20.76738084,84.79803163,0.875340831,2.436392118,1.171934879,1.039845531,1.042513528,0.565095277,8.732703678,29.08858737,0.009832144,1.825128866,-0.000506571,0.02146781,-0.00687379,-0.002934799,-9.46E-05,-3.90E-06,-0.000499202,-1.99E-06,-2.18E-05,-7.61E-06,9.08E-07,1.98E-89,9.66E-06,-4329.526311,0.000286942,0.000475394,-0.000167542,0.000183933,5.35E-05,0.00065794,1.126649355,0.987644687,1.150075487,1.177799078,1.5371352,0.679199222,1.320704608,0,1.246972949,0,1.068030482,276.6183501,5934687
13136,4.172414438,5.614488934,8.464178825,93.44635961,1.712821292,1.895776486,0.80928182,1.445250788,0.663800785,0.40014647,8.278352338,30.32056946,0.003788259,1.160265328,0.004647791,0.009177492,-0.006015073,-0.001550378,-3.67E-05,2.00E-05,-0.000494246,-2.10E-06,-4.98E-05,-7.81E-06,0.133501259,3.37E-39,0.0722847,-0.576571706,0.000221692,0.001068765,3.60E-05,0.000176945,-0.000103148,0.002117014,1.014547221,1.106999097,1.22041303,1.101644909,0.830771031,0.782873642,1.21954467,0,1.827498572,0,1.034592251,280.6585207,6597027
15562,13.17498977,3.815791398,10.62967986,109.3867387,1.23873679,3.337851033,1.000526059,1.361471382,1.804080101,0.629603094,9.193402897,34.65182489,0.000592388,2.193885555,0.002612788,0.015305678,-0.002518306,-0.002473578,-5.68E-05,-2.64E-07,-0.00064179,-3.39E-06,-6.39E-05,-6.48E-06,0.00879767,6401.222987,6.24E-18,-0.531907503,0.00014648,0.0008223,2.49E-06,1.89E-05,-3.83E-05,0.000581615,0.926815318,0.865912477,1.223509778,0.945383247,0.568289976,0.982526966,1.402422115,0,0.230327711,0,1.100016747,280.2037212,7565001
17101,7.298170778,3.794356792,16.95463764,113.9383625,1.05034129,2.618197988,0.817947428,1.008176609,0.644284715,0.246026372,6.674400831,34.59978215,-0.000390237,0.288605095,0.005491746,0.030063053,-0.003738336,-0.003894353,-6.32E-05,1.39E-05,-0.000539214,-1.27E-06,-3.44E-05,-5.63E-06,1.33E-06,0.000304897,6.41E-07,-429.3123341,0.000211558,0.001579961,1.09E-05,8.38E-05,0.000112914,0.000887817,0.929171451,1.16545219,1.006313363,2.608973464,1.578030654,1.033998486,1.075991372,0,0.556292905,0,0.918369472,281.8975263,8179062
22575,2.266433743,3.626157448,12.58430055,61.32125839,1.333437445,2.871881407,0.522390491,1.214343307,0.884066285,0.504647845,7.912782339,35.23172949,0.00023654,0.952761972,0.003239507,0.011596624,-0.0050131,-0.001654276,-5.63E-05,-1.43E-05,-0.000507857,-2.70E-07,-2.22E-05,-5.73E-06,0.028840362,5.13E-35,8.41E-14,-0.710522247,0.000233069,0.001552744,-5.34E-05,9.02E-05,-0.000143747,0.002128406,0.981258374,1.135502308,1.004307587,1.015379459,1.045160566,1.019836308,0.657624196,0,1.650528565,0,1.009129496,280.5266297,10363188
